fecha,geografia,variable,valor,unidad,fuente
2023-01-10,Nariño,temp_min,13.9,°C,open-meteo
2023-01-10,Quindío,precipitacion,14.3,mm,open-meteo
2023-01-10,Quindío,temp_max,19.6,°C,open-meteo
2023-01-10,Quindío,temp_min,14.6,°C,open-meteo
2023-01-10,Risaralda,precipitacion,17.9,mm,open-meteo
2023-01-10,Risaralda,temp_max,22.0,°C,open-meteo
2023-01-10,Risaralda,temp_min,14.6,°C,open-meteo
2023-01-10,Tolima,precipitacion,2.9,mm,open-meteo
2023-01-10,Tolima,temp_max,19.2,°C,open-meteo
2023-01-10,Tolima,temp_min,14.4,°C,open-meteo
2023-01-11,Antioquia,precipitacion,5.6,mm,open-meteo
2023-01-11,Antioquia,temp_max,24.9,°C,open-meteo
2023-01-11,Antioquia,temp_min,14.4,°C,open-meteo
2023-01-11,COLOMBIA,fx_usd_local,4783.75,COP/USD,yfinance
2023-01-11,COLOMBIA,precio_interno_referencia,1696000.0,COP/carga_125kg,FNC
2023-01-11,Caldas,precipitacion,29.3,mm,open-meteo
2023-01-11,Caldas,temp_max,16.0,°C,open-meteo
2023-01-11,Caldas,temp_min,11.4,°C,open-meteo
2023-01-11,Cauca,precipitacion,14.6,mm,open-meteo
2023-01-11,Cauca,temp_max,19.1,°C,open-meteo
2023-01-11,Cauca,temp_min,13.6,°C,open-meteo
2023-01-11,GLOBAL,precio_cafe_arabica,143.89999389648438,USc/lb,yfinance
2023-01-11,Huila,precipitacion,4.4,mm,open-meteo
2023-01-11,Huila,temp_max,22.4,°C,open-meteo
2023-01-11,Huila,temp_min,15.9,°C,open-meteo
2023-01-11,Nariño,precipitacion,9.5,mm,open-meteo
2023-01-11,Nariño,temp_max,18.9,°C,open-meteo
2023-01-11,Nariño,temp_min,13.0,°C,open-meteo
2023-01-11,Quindío,precipitacion,36.4,mm,open-meteo
2023-01-11,Quindío,temp_max,20.4,°C,open-meteo
2023-01-11,Quindío,temp_min,15.2,°C,open-meteo
2023-01-11,Risaralda,precipitacion,15.9,mm,open-meteo
2023-01-11,Risaralda,temp_max,22.8,°C,open-meteo
2023-01-11,Risaralda,temp_min,13.5,°C,open-meteo
2023-01-11,Tolima,precipitacion,27.5,mm,open-meteo
2023-01-11,Tolima,temp_max,20.0,°C,open-meteo
2023-01-11,Tolima,temp_min,12.7,°C,open-meteo
2023-01-12,Antioquia,precipitacion,5.7,mm,open-meteo
