semana_fin,fecha_dato,geografia,variable,valor,unidad,fuente,dias_observados
2023-02-26,2023-02-26,Antioquia,temp_max_semanal,28.2,°C,open-meteo,7
2023-02-26,2023-02-26,Antioquia,temp_min_semanal,14.8,°C,open-meteo,7
2023-02-26,2023-02-26,Antioquia,temp_promedio_semanal,20.8357,°C,open-meteo,7
2023-02-26,2023-02-24,COLOMBIA,fx_usd_local,4875.02001953125,COP/USD,yfinance,5
2023-02-26,2023-02-26,COLOMBIA,precio_interno_referencia,2130000.0,COP/carga_125kg,FNC,7
2023-02-26,2023-02-26,Caldas,precipitacion_semanal,47.4,mm,open-meteo,7
2023-02-26,2023-02-26,Caldas,temp_max_semanal,19.9,°C,open-meteo,7
2023-02-26,2023-02-26,Caldas,temp_min_semanal,8.4,°C,open-meteo,7
2023-02-26,2023-02-26,Caldas,temp_promedio_semanal,14.25,°C,open-meteo,7
2023-02-26,2023-02-26,Cauca,precipitacion_semanal,22.1,mm,open-meteo,7
2023-02-26,2023-02-26,Cauca,temp_max_semanal,22.4,°C,open-meteo,7
2023-02-26,2023-02-26,Cauca,temp_min_semanal,11.2,°C,open-meteo,7
2023-02-26,2023-02-26,Cauca,temp_promedio_semanal,17.0643,°C,open-meteo,7
2023-02-26,2023-02-24,GLOBAL,precio_cafe_arabica,191.1999969482422,USc/lb,yfinance,4
2023-02-26,2023-02-26,Huila,precipitacion_semanal,5.2,mm,open-meteo,7
2023-02-26,2023-02-26,Huila,temp_max_semanal,26.5,°C,open-meteo,7
2023-02-26,2023-02-26,Huila,temp_min_semanal,11.5,°C,open-meteo,7
2023-02-26,2023-02-26,Huila,temp_promedio_semanal,19.1,°C,open-meteo,7
2023-02-26,2023-02-26,Nariño,precipitacion_semanal,27.4,mm,open-meteo,7
2023-02-26,2023-02-26,Nariño,temp_max_semanal,21.2,°C,open-meteo,7
2023-02-26,2023-02-26,Nariño,temp_min_semanal,12.0,°C,open-meteo,7
2023-02-26,2023-02-26,Nariño,temp_promedio_semanal,16.95,°C,open-meteo,7
2023-02-26,2023-02-26,Quindío,precipitacion_semanal,96.9,mm,open-meteo,7
2023-02-26,2023-02-26,Quindío,temp_max_semanal,23.8,°C,open-meteo,7
2023-02-26,2023-02-26,Quindío,temp_min_semanal,13.2,°C,open-meteo,7
2023-02-26,2023-02-26,Quindío,temp_promedio_semanal,18.2357,°C,open-meteo,7
2023-02-26,2023-02-26,Risaralda,precipitacion_semanal,24.9,mm,open-meteo,7
2023-02-26,2023-02-26,Risaralda,temp_max_semanal,25.5,°C,open-meteo,7
2023-02-26,2023-02-26,Risaralda,temp_min_semanal,14.4,°C,open-meteo,7
2023-02-26,2023-02-26,Risaralda,temp_promedio_semanal,19.3714,°C,open-meteo,7
2023-02-26,2023-02-26,Tolima,precipitacion_semanal,84.1,mm,open-meteo,7
2023-02-26,2023-02-26,Tolima,temp_max_semanal,22.9,°C,open-meteo,7
2023-02-26,2023-02-26,Tolima,temp_min_semanal,12.1,°C,open-meteo,7
2023-02-26,2023-02-26,Tolima,temp_promedio_semanal,17.5714,°C,open-meteo,7
2023-03-05,2023-03-05,Antioquia,precipitacion_semanal,74.9,mm,open-meteo,7
2023-03-05,2023-03-05,Antioquia,temp_max_semanal,28.3,°C,open-meteo,7
2023-03-05,2023-03-05,Antioquia,temp_min_semanal,16.5,°C,open-meteo,7
2023-03-05,2023-03-05,Antioquia,temp_promedio_semanal,21.7429,°C,open-meteo,7
2023-03-05,2023-03-01,COLOMBIA,exportaciones_cafe,906.561,miles_sacos_60kg,FNC,1
2023-03-05,2023-03-03,COLOMBIA,fx_usd_local,4818.080078125,COP/USD,yfinance,5
2023-03-05,2023-03-05,COLOMBIA,precio_interno_referencia,2010000.0,COP/carga_125kg,FNC,7
2023-03-05,2023-03-01,COLOMBIA,produccion_nacional,799.0,miles_sacos_60kg,FNC,1
2023-03-05,2023-03-05,Caldas,precipitacion_semanal,200.0,mm,open-meteo,7
2023-03-05,2023-03-05,Caldas,temp_max_semanal,20.2,°C,open-meteo,7
2023-03-05,2023-03-05,Caldas,temp_min_semanal,9.8,°C,open-meteo,7
2023-03-05,2023-03-05,Caldas,temp_promedio_semanal,14.5786,°C,open-meteo,7
2023-03-05,2023-03-05,Cauca,precipitacion_semanal,21.5,mm,open-meteo,7
2023-03-05,2023-03-05,Cauca,temp_max_semanal,21.6,°C,open-meteo,7
2023-03-05,2023-03-05,Cauca,temp_min_semanal,14.0,°C,open-meteo,7
2023-03-05,2023-03-05,Cauca,temp_promedio_semanal,17.7714,°C,open-meteo,7
2023-03-05,2023-03-03,GLOBAL,precio_cafe_arabica,180.8000030517578,USc/lb,yfinance,5
2023-03-05,2023-03-05,Huila,precipitacion_semanal,71.6,mm,open-meteo,7
2023-03-05,2023-03-05,Huila,temp_max_semanal,26.0,°C,open-meteo,7
2023-03-05,2023-03-05,Huila,temp_min_semanal,12.9,°C,open-meteo,7
2023-03-05,2023-03-05,Huila,temp_promedio_semanal,19.7571,°C,open-meteo,7
2023-03-05,2023-03-05,Nariño,precipitacion_semanal,40.7,mm,open-meteo,7
2023-03-05,2023-03-05,Nariño,temp_max_semanal,22.6,°C,open-meteo,7
